"year","stage","pet","cloud_cover","maximum_temperature","minimum_temperature","vapour_pressure","diurnal_temperature_range","mean_temperature","precipitation","rain_days","ground_frost_frequency","gdd","hdd","cumulative_precipitation","soil_moisture_index","soil_temperature_index","uv_index"
1918,"sowing",2.3,27.3,20.8,5.7,9.3,15.1,13.2,24.7,4.4,5.6,8.25,8.2,24.7,-9.73913043478261,13.25,0.553113553113553
1918,"germination",2.1,22.75,18.6,3.05,7.55,15.5,10.8,39.1,6.9,21.6,11.65,11.6,63.8,-17.6190476190476,10.825,0.683516483516484
1918,"tillering",2.9,25.9,19.7,4,7.5,15.7,11.8,28.9,3.9,8.7,6.85,6.8,92.7,-8.96551724137931,11.85,0.606177606177606
1918,"heading",4.35,36.45,24.85,9.8,10.6,15.1,17.3,79.9,12.9,2.1,24.65,24.6,172.6,-17.367816091954,17.325,0.412894375857339
1918,"maturity",5.45,41.95,27.95,13.75,13.5,14.15,20.85,106.8,13.9,0.1,31.7,31.7,279.4,-18.5963302752294,20.85,0.33849821215733
1919,"sowing",2.3,28.8,21,6.2,9.5,14.7,13.6,10.5,2.4,4.7,8.6,8.6,10.5,-3.56521739130435,13.6,0.513888888888889
1919,"germination",2.1,23.5,19,3.6,7.95,15.4,11.3,18.4,4,19.3,12.6,12.6,28.9,-7.76190476190476,11.3,0.65531914893617
1919,"tillering",3,25.4,20.6,4.8,7.9,15.8,12.6,14.6,3.1,7.3,7.7,7.6,43.5,-3.86666666666667,12.7,0.622047244094488
1919,"heading",4.3,36.25,24.1,8.95,10.05,15.1,16.5,33.9,7.9,3.8,23.05,23,77.4,-6.88372093023256,16.525,0.417931034482759
1919,"maturity",5.45,42.25,27.8,13.7,13.35,14.1,20.75,90.8,13.8,0.1,31.5,31.5,168.2,-15.6605504587156,20.75,0.333727810650888
1920,"sowing",2.4,28,21.6,6.7,9.8,14.9,14.1,19.9,3.8,4.1,9.15,9.1,19.9,-7.29166666666667,14.15,0.532142857142857
1920,"germination",2,22.6,18.3,2.7,7.4,15.6,10.5,16.1,2.8,11.3,5.5,5.5,36,-7.05,10.5,0.690265486725664
1920,"tillering",2.6,23.55,20.25,4.45,8.05,15.8,12.35,29.3,5.7,16.1,14.7,14.7,65.3,-10.2692307692308,12.35,0.670912951167728
1920,"heading",4.25,37.25,23.95,9,9.95,14.95,16.45,78.6,11.7,3.3,22.95,22.9,143.9,-17.4941176470588,16.475,0.401342281879195
1920,"maturity",5.55,41.6,28.6,14.3,13.95,14.3,21.45,94.9,14.4,0,32.9,32.9,238.8,-16.0990990990991,21.45,0.34375
1921,"sowing",2.3,29,20.8,6.2,9.4,14.7,13.5,24.2,4.2,4.9,8.5,8.5,24.2,-9.52173913043478,13.5,0.503448275862069
1921,"germination",2.05,22.7,18.15,2.6,7.35,15.55,10.35,34.4,5.3,23.6,10.75,10.7,58.6,-15.780487804878,10.375,0.685022026431718
1921,"tillering",2.9,25,19.7,3.8,7.3,15.9,11.7,9,2,9.3,6.75,6.7,67.6,-2.10344827586207,11.75,0.636
1921,"heading",4.3,36.1,23.9,8.75,9.85,15.2,16.3,60,9.5,3.8,22.65,22.6,127.6,-12.953488372093,16.325,0.419667590027701
1921,"maturity",5.4,42.55,27.5,13.5,13.2,14,20.5,175.7,19.4,0.1,31,31,303.3,-31.537037037037,20.5,0.329024676850764
1922,"sowing",2.3,28.7,21,6.3,9.4,14.8,13.6,29.6,4.5,4.8,8.65,8.6,29.6,-11.8695652173913,13.65,0.51219512195122
1922,"germination",2.1,23.35,18.9,3.5,7.85,15.4,11.2,35.4,5.4,20,12.4,12.4,65,-15.8571428571429,11.2,0.659528907922912
1922,"tillering",3,25.4,20.5,4.7,7.9,15.8,12.6,30.6,4.6,7.7,7.6,7.6,95.6,-9.2,12.6,0.622047244094488
1922,"heading",4.3,37.7,24.55,9.7,10.55,14.85,17.1,62.6,9.5,2.1,24.25,24.2,158.2,-13.5581395348837,17.125,0.393899204244032
1922,"maturity",5.5,42.05,28.15,14.05,13.75,14.1,21.1,129.3,15.8,0.1,32.2,32.2,287.5,-22.5090909090909,21.1,0.335315101070155
1923,"sowing",2.4,27.1,21.1,5.9,9.2,15.1,13.5,26.5,4.3,5.2,8.5,8.5,26.5,-10.0416666666667,13.5,0.560885608856089
1923,"germination",2.1,22.3,18.85,3.2,7.65,15.65,11.05,42.9,7.4,21,12.05,12.1,69.4,-19.4285714285714,11.025,0.701793721973094
1923,"tillering",3,25.4,21,5.2,8.2,15.8,13.1,9.1,2.4,6.5,8.1,8.1,78.5,-2.03333333333333,13.1,0.622047244094488
1923,"heading",4.45,35.55,25.3,10.05,10.85,15.25,17.65,28,6.9,2.2,25.35,25.3,106.5,-5.29213483146067,17.675,0.428973277074543
1923,"maturity",5.55,42.25,28.65,14.6,14.2,14.1,21.6,100.8,14.5,0,33.25,33.2,207.3,-17.1621621621622,21.625,0.332544378698225
1924,"sowing",2.3,27.7,21,6,9.4,15,13.5,17.7,3.4,5.1,8.5,8.5,17.7,-6.69565217391304,13.5,0.541516245487365
1924,"germination",2,23.5,18.5,3.1,7.7,15.3,10.8,9.5,1.9,10.5,5.8,5.8,27.2,-3.75,10.8,0.65531914893617
1924,"tillering",2.55,23.85,19.1,3.35,7.4,15.8,11.2,24.7,4.9,20.6,12.45,12.4,51.9,-8.68627450980392,11.225,0.660377358490566
1924,"heading",4.3,37.2,23.9,8.95,9.9,14.9,16.35,67.9,10.2,3.1,22.85,22.7,119.8,-14.7906976744186,16.425,0.401881720430108
1924,"maturity",5.35,42.65,27.55,13.6,13.35,14,20.55,169.5,18.6,0.1,31.15,31.1,289.3,-30.6822429906542,20.575,0.327080890973036
1925,"sowing",2.3,29.2,21,6.3,9.6,14.7,13.6,37,5.3,4.7,8.65,8.6,37,-15.0869565217391,13.65,0.503424657534247
1925,"germination",2.1,22.15,18.5,2.8,7.45,15.7,10.6,49.2,8,22.8,11.3,11.2,86.2,-22.4285714285714,10.65,0.708803611738149
1925,"tillering",3,24.6,21.3,5.2,8.3,16,13.2,7.7,2.3,6.4,8.25,8.2,93.9,-1.56666666666667,13.25,0.654471544715447
1925,"heading",4.25,37.25,23.95,9.05,10.05,14.95,16.45,75.1,11.1,2.9,23,22.9,169,-16.6705882352941,16.5,0.4
1925,"maturity",5.55,41.55,28.4,14.15,13.75,14.3,21.25,82.9,14,0.1,32.55,32.5,251.9,-13.9369369369369,21.275,0.342960288808664
1926,"sowing",2.4,27.8,21.7,6.7,9.8,15,14.1,24.7,4.4,4.1,9.2,9.1,24.7,-9.29166666666667,14.2,0.539568345323741
1926,"germination",2,23.8,18.15,2.9,7.5,15.3,10.45,31.1,5.9,22.7,11.05,10.9,55.8,-14.55,10.525,0.640756302521008
1926,"tillering",3,24.2,20.5,4.4,7.7,16.1,12.4,5.7,1.6,8,7.45,7.4,61.5,-0.9,12.45,0.665289256198347
1926,"heading",4.25,36.55,24,8.95,9.95,15.05,16.5,66.5,10.7,3.4,22.95,23,128,-14.6470588235294,16.475,0.411764705882353
1926,"maturity",5.5,41.3,27.85,13.55,13.25,14.3,20.65,105.4,15,0.1,31.4,31.3,233.4,-18.1636363636364,20.7,0.346246973365617
1927,"sowing",2.4,26.5,21.4,6.1,9.6,15.3,13.7,12.4,2.7,4.8,8.75,8.7,12.4,-4.16666666666667,13.75,0.577358490566038
1927,"germination",2.1,23.3,19.2,3.75,8.05,15.45,11.45,24.6,4.8,18.7,12.95,12.9,37,-10.7142857142857,11.475,0.663090128755365
1927,"tillering",3,24.7,21,5,8.1,16,12.9,17.5,3.3,6.9,8,7.9,54.5,-4.83333333333333,13,0.647773279352227
1927,"heading",4.4,36.1,25.1,9.95,10.7,15.2,17.55,62.5,9.1,1.7,25.05,25.1,117,-13.2045454545455,17.525,0.419667590027701
1927,"maturity",5.55,41.8,28.65,14.4,14.1,14.2,21.5,92.5,13.7,0,33.05,33,209.5,-15.6666666666667,21.525,0.340909090909091
1928,"sowing",2.4,28.9,21.5,6.7,9.8,14.7,14.1,7,1.8,4,9.1,9.1,7,-1.91666666666667,14.1,0.512110726643599
1928,"germination",2,23.7,19,3.7,8,15.3,11.3,9.8,1.9,9.4,6.35,6.3,16.8,-3.9,11.35,0.645569620253165
1928,"tillering",2.6,23.5,19.85,4.05,7.75,15.85,11.9,23.5,4.9,17.6,13.9,13.8,40.3,-8.03846153846154,11.95,0.672340425531915
1928,"heading",4.3,37.35,24.15,9.25,10.15,14.95,16.65,62.7,10.8,3.3,23.4,23.3,103,-13.5813953488372,16.7,0.398929049531459
1928,"maturity",5.55,41.8,28.25,14.15,13.85,14.15,21.2,107.6,15.2,0.1,32.4,32.4,210.6,-18.3873873873874,21.2,0.337320574162679
1929,"sowing",2.4,27.8,22.1,7.1,10.2,15,14.6,20.8,4,3.4,9.6,9.6,20.8,-7.66666666666667,14.6,0.539568345323741
1929,"germination",2.1,23.55,18.95,3.6,7.9,15.35,11.25,57.1,8.7,19.5,12.55,12.5,77.9,-26.1904761904762,11.275,0.651804670912951
1929,"tillering",2.9,26.1,20.6,4.9,8.1,15.6,12.7,20.7,4.1,6.9,7.75,7.7,98.6,-6.13793103448276,12.75,0.601532567049808
1929,"heading",4.35,38,24.7,9.95,10.65,14.75,17.3,111.1,14,2.2,24.65,24.6,209.7,-24.5402298850575,17.325,0.388157894736842
1929,"maturity",5.5,42.5,28.2,14.25,13.9,14,21.2,128.9,16.1,0,32.45,32.4,338.6,-22.4363636363636,21.225,0.328235294117647
1930,"sowing",2.4,28.3,21.7,6.8,9.9,14.9,14.2,13.2,3,3.9,9.25,9.2,13.2,-4.5,14.25,0.526501766784452
1930,"germination",2.1,23.3,18.85,3.45,7.85,15.4,11.15,22.1,4.7,19.9,12.3,12.3,35.3,-9.52380952380952,11.15,0.660944206008584
1930,"tillering",2.9,25.6,20.2,4.5,7.7,15.8,12.3,28.9,4.3,7.9,7.35,7.3,64.2,-8.96551724137931,12.35,0.61328125
1930,"heading",4.3,36.9,24.05,9.05,10.05,14.95,16.55,49.1,8.9,3.7,23.1,23.1,113.3,-10.4186046511628,16.55,0.40650406504065
1930,"maturity",5.55,41.75,28.8,14.6,14.25,14.2,21.65,96.2,13.9,0,33.4,33.3,209.5,-16.3333333333333,21.7,0.340119760479042
1931,"sowing",2.4,28.2,22.8,7.9,10.8,14.9,15.3,5.3,1.5,2.5,10.35,10.3,5.3,-1.20833333333333,15.35,0.528368794326241
1931,"germination",2.05,24.1,18.6,3.4,7.8,15.25,11,43.8,6.7,20.5,12,12,49.1,-20.3658536585366,11,0.630705394190871
1931,"tillering",3,25,21.2,5.3,8.3,15.9,13.2,11,2.4,6.4,8.25,8.2,60.1,-2.66666666666667,13.25,0.636
1931,"heading",4.3,36.35,24.45,9.3,10.2,15.15,16.85,53.6,9.5,2.7,23.75,23.7,113.7,-11.4651162790698,16.875,0.416781292984869
1931,"maturity",5.55,42.1,28.65,14.5,14.15,14.15,21.55,117.1,15.5,0,33.15,33.1,230.8,-20.0990990990991,21.575,0.336104513064133
1932,"sowing",2.4,29.3,22.3,7.6,10.5,14.6,14.9,30.7,4.7,2.8,9.95,9.9,30.7,-11.7916666666667,14.95,0.501706484641638
1932,"germination",2,24.6,19.1,4,8.3,15.1,11.6,14.3,3,8.6,6.55,6.6,45,-6.15,11.55,0.613821138211382
1932,"tillering",2.6,22.95,20.1,4.1,7.95,15.95,12.1,17.3,3.6,17.4,14.2,14.2,62.3,-5.65384615384615,12.1,0.697167755991285
1932,"heading",4.35,36.45,24.9,9.85,10.7,15.05,17.35,71.8,11.8,2.3,24.75,24.7,134.1,-15.5057471264368,17.375,0.412894375857339
1932,"maturity",5.55,41.95,28.75,14.55,14.15,14.2,21.65,107.4,14.2,0,33.3,33.3,241.5,-18.3513513513514,21.65,0.33849821215733
1933,"sowing",2.4,27.4,22.4,7.4,10.4,15.1,14.9,9,2.3,3,9.9,9.9,9,-2.75,14.9,0.547445255474453
1933,"germination",2.1,22.5,19.05,3.4,7.85,15.6,11.2,30.1,5.6,20.1,12.45,12.4,39.1,-13.3333333333333,11.225,0.695555555555555
1933,"tillering",3,25.2,20.7,4.8,8,15.9,12.7,19.3,3.3,7.1,7.75,7.7,58.4,-5.43333333333333,12.75,0.630952380952381
1933,"heading",4.4,35.65,25.15,9.9,10.7,15.2,17.5,23.6,6.1,2,25.05,25,82,-4.36363636363636,17.525,0.427769985974755
1933,"maturity",5.5,41.75,28.3,14.05,13.8,14.25,21.1,185.7,19.9,0,32.35,32.2,267.7,-32.7636363636364,21.175,0.341317365269461
1934,"sowing",2.4,28.4,23.1,8.3,11.1,14.8,15.7,28.8,4.7,2.1,10.7,10.7,28.8,-11,15.7,0.52112676056338
1934,"germination",2.1,24.45,19.55,4.45,8.55,15.1,12,35.5,5.9,16.6,14,14,64.3,-15.9047619047619,12,0.61758691206544
1934,"tillering",3,25.9,21.6,5.9,8.8,15.7,13.7,16.2,2.8,5.4,8.75,8.7,80.5,-4.4,13.75,0.606177606177606
1934,"heading",4.4,35.55,24.85,9.6,10.45,15.25,17.2,62.1,10.6,1.9,24.45,24.4,142.6,-13.1136363636364,17.225,0.428973277074543
1934,"maturity",5.5,41.9,28.3,14.1,13.9,14.15,21.15,158.5,18,0,32.4,32.3,301.1,-27.8181818181818,21.2,0.33890214797136
1935,"sowing",2.3,28.6,21.1,6.3,9.5,14.8,13.6,48.8,6.1,4.8,8.7,8.6,48.8,-20.2173913043478,13.7,0.517482517482518
1935,"germination",2.05,23.3,18.7,3.3,7.75,15.4,11,30.4,5.6,20.6,12,12,79.2,-13.8292682926829,11,0.660944206008584
1935,"tillering",2.8,25.3,19.4,3.6,7.4,15.8,11.5,17.6,3.3,9.6,6.5,6.5,96.8,-5.28571428571429,11.5,0.624505928853755
1935,"heading",4.4,35.7,24.8,9.6,10.45,15.2,17.15,39.5,9.2,3.1,24.4,24.3,136.3,-7.97727272727273,17.2,0.425770308123249
1935,"maturity",5.4,42.15,27.65,13.5,13.3,14.15,20.55,79,13.1,0.1,31.15,31.1,215.3,-13.6296296296296,20.575,0.33570581257414
1936,"sowing",2.3,28.2,20.7,5.9,9.2,14.9,13.3,46.2,5.9,5.3,8.3,8.3,46.2,-19.0869565217391,13.3,0.524822695035461
1936,"germination",2,24.3,19.9,4.7,8.7,15.1,12.3,5.4,1.5,7.3,7.3,7.3,51.6,-1.7,12.3,0.625514403292181
1936,"tillering",2.65,23.35,20.75,4.85,8.4,15.85,12.75,22.2,4.3,14.4,15.6,15.5,73.8,-7.37735849056604,12.8,0.680942184154176
1936,"heading",4.3,36.35,24.15,9.05,10.05,15.1,16.6,69.7,11.9,2.7,23.2,23.2,143.5,-15.2093023255814,16.6,0.415405777166437
1936,"maturity",5.5,41.4,27.95,13.6,13.3,14.35,20.7,147.9,18.1,0.1,31.55,31.4,291.4,-25.8909090909091,20.775,0.346618357487923
1937,"sowing",2.4,26.5,22.4,7.2,10.1,15.3,14.8,10.3,2.5,3.3,9.8,9.8,10.3,-3.29166666666667,14.8,0.573584905660377
1937,"germination",2.1,22.55,18.85,3.3,7.75,15.6,11.1,29.2,5,20.7,12.15,12.2,39.5,-12.9047619047619,11.075,0.689578713968958
1937,"tillering",3,25.3,21.6,5.8,8.6,15.8,13.7,5.4,1.4,5.3,8.7,8.7,44.9,-0.8,13.7,0.624505928853755
1937,"heading",4.35,36.3,24.55,9.45,10.35,15.1,16.95,44.7,8.9,2.8,24,23.9,89.6,-9.27586206896552,17,0.415977961432507
1937,"maturity",5.6,41.5,28.7,14.4,14.1,14.25,21.5,123.6,16.4,0,33.1,33,213.2,-21.0714285714286,21.55,0.344578313253012
1938,"sowing",2.4,28.2,22.2,7.3,10.2,14.9,14.7,14.2,3.3,3.2,9.75,9.7,14.2,-4.91666666666667,14.75,0.528368794326241
1938,"germination",2.1,24.1,19.5,4.25,8.4,15.2,11.85,39.3,7.5,16.8,13.75,13.7,53.5,-17.7142857142857,11.875,0.632780082987552
1938,"tillering",2.9,26,20.4,4.8,8,15.6,12.6,13.4,2.9,7.4,7.6,7.6,66.9,-3.62068965517241,12.6,0.6
1938,"heading",4.3,37.05,24.6,9.65,10.55,15,17.1,72.1,11.1,2.4,24.25,24.2,139,-15.7674418604651,17.125,0.403508771929825
1938,"maturity",5.45,42.4,27.8,13.75,13.55,14.05,20.7,131.4,16.6,0.1,31.55,31.4,270.4,-23.1100917431193,20.775,0.331367924528302
1939,"sowing",2.4,28.3,22.1,7.2,10.3,14.9,14.6,28.6,4.6,3.3,9.65,9.6,28.6,-10.9166666666667,14.65,0.526501766784452
1939,"germination",2.1,24.3,19.1,3.9,8.15,15.2,11.45,39.3,7.1,18.3,13,12.9,67.9,-17.7142857142857,11.5,0.625514403292181
1939,"tillering",2.9,25.4,20.5,4.7,8,15.8,12.6,38.6,5.4,7.4,7.6,7.6,106.5,-12.3103448275862,12.6,0.622047244094488
1939,"heading",4.3,37.35,24.4,9.45,10.35,14.95,16.9,80.5,11.7,2.8,23.85,23.8,187,-17.7209302325581,16.925,0.400267737617135
1939,"maturity",5.5,41.5,28.3,14,13.75,14.3,21.15,125.9,15.2,0,32.3,32.3,312.9,-21.8909090909091,21.15,0.344578313253012
1940,"sowing",2.4,25.5,21.9,6.6,9.8,15.4,14.2,30.3,4.3,4.2,9.25,9.2,30.3,-11.625,14.25,0.6
1940,"germination",2.1,21.3,19.8,3.9,8.3,15.9,11.9,25.8,3.9,8.9,6.85,6.9,56.1,-11.2857142857143,11.85,0.746478873239437
1940,"tillering",2.75,17.7,21.4,4.25,8.05,17.05,12.8,16.7,4.6,16.9,15.65,15.6,72.8,-5.07272727272727,12.825,0.968926553672316
1940,"heading",4.3,37.65,24.35,9.8,10.6,14.6,17.05,69.5,11.6,2,24.15,24.1,142.3,-15.1627906976744,17.075,0.386454183266932
1940,"maturity",5.55,41.5,28.7,14.3,14.25,14.4,21.45,138.2,16.9,0,33,32.9,280.5,-23.9009009009009,21.5,0.346987951807229
1941,"sowing",2.5,23,23.1,7.3,10.4,15.8,15.2,14.8,2.6,3.4,10.2,10.2,14.8,-4.92,15.2,0.68695652173913
1941,"germination",2.15,20.6,19.85,3.85,8.15,16,11.85,29.5,5.5,18.5,13.7,13.7,44.3,-12.7209302325581,11.85,0.776699029126214
1941,"tillering",3.1,24.1,22.1,6,8.8,16.1,14,14.7,3.2,5.1,9.05,9,59,-3.74193548387097,14.05,0.66804979253112
1941,"heading",4.45,34.15,25,9.4,10.55,15.6,17.15,65,11.3,3.6,24.4,24.3,124,-13.6067415730337,17.2,0.456808199121523
1941,"maturity",5.7,37.75,29.05,14.05,14,15,21.5,73,12,0.1,33.1,33,197,-11.8070175438596,21.55,0.397350993377483
1942,"sowing",2.3,30.2,21.6,7,10,14.6,14.3,34,5,3.6,9.3,9.3,34,-13.7826086956522,14.3,0.483443708609272
1942,"germination",2.2,20.2,19.75,3.65,8.05,16.1,11.7,28.1,4.6,19.5,13.4,13.4,62.1,-11.7727272727273,11.7,0.797029702970297
1942,"tillering",3,24.7,21.4,5.4,8.5,16,13.3,23.7,3.9,6.5,8.4,8.3,85.8,-6.9,13.4,0.647773279352227
1942,"heading",4.15,41,23.9,9.55,10.4,14.35,16.65,88.5,13,2.5,23.45,23.3,174.3,-20.3253012048193,16.725,0.35
1942,"maturity",5.3,44.65,27.75,14.1,13.9,13.7,20.9,153.6,18.1,0,31.85,31.8,327.9,-27.9811320754717,20.925,0.305711086226204
1943,"sowing",2.2,33.8,20.5,6.6,9.8,13.9,13.5,33.1,4.9,4.1,8.55,8.5,33.1,-14.0454545454545,13.55,0.411242603550296
1943,"germination",2.05,23.3,18.55,3.1,7.7,15.5,10.75,35.3,5.6,21.8,11.65,11.5,68.4,-16.219512195122,10.825,0.663090128755365
1943,"tillering",2.7,31.6,18.7,4.3,7.8,14.4,11.5,43.6,5.7,8.4,6.5,6.5,112,-15.1481481481481,11.5,0.455696202531646
1943,"heading",4.25,37,24.2,9.3,10.35,14.9,16.75,75.2,10.8,2.9,23.5,23.5,187.2,-16.6941176470588,16.75,0.402702702702703
1943,"maturity",5.25,45.95,27.5,14.05,13.85,13.5,20.75,177.2,20.1,0,31.55,31.5,364.4,-32.752380952381,20.775,0.292709466811752
